country,date,agricultural_land%,forest_land%,land_area,trade_in_services%,control_of_corruption_estimate,access_to_electricity%,renewvable_energy_consumption%,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,individuals_using_internet%,military_expenditure%,GDP_current_US,political_stability_estimate,rule_of_law_estimate,regulatory_quality_estimate,government_expenditure_on_education%,government_health_expenditure%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,intentional_homicides,year,CO2_emisions_rolling_mean,GDP_current_US_rolling_mean,access_to_electricity%_rolling_mean,agricultural_land%_rolling_mean,birth_rate_rolling_mean,central_goverment_debt%_rolling_mean,control_of_corruption_estimate_rolling_mean,death_rate_rolling_mean,expense%_rolling_mean,forest_land%_rolling_mean,goverment_effectiveness_estimate_rolling_mean,government_expenditure_on_education%_rolling_mean,government_health_expenditure%_rolling_mean,individuals_using_internet%_rolling_mean,inflation_annual%_rolling_mean,intentional_homicides_rolling_mean,land_area_rolling_mean,life_expectancy_at_birth_rolling_mean,military_expenditure%_rolling_mean,other_greenhouse_emisions_rolling_mean,political_stability_estimate_rolling_mean,population_rolling_mean,population_density_rolling_mean,real_interest_rate_rolling_mean,regulatory_quality_estimate_rolling_mean,renewvable_energy_consumption%_rolling_mean,research_and_development_expenditure%_rolling_mean,rule_of_law_estimate_rolling_mean,rural_population_rolling_mean,tax_revenue%_rolling_mean,trade_in_services%_rolling_mean,voice_and_accountability_estimate_rolling_mean,CO2_emisions_rolling_std,GDP_current_US_rolling_std,access_to_electricity%_rolling_std,agricultural_land%_rolling_std,birth_rate_rolling_std,central_goverment_debt%_rolling_std,control_of_corruption_estimate_rolling_std,death_rate_rolling_std,expense%_rolling_std,forest_land%_rolling_std,goverment_effectiveness_estimate_rolling_std,government_expenditure_on_education%_rolling_std,government_health_expenditure%_rolling_std,individuals_using_internet%_rolling_std,inflation_annual%_rolling_std,intentional_homicides_rolling_std,land_area_rolling_std,life_expectancy_at_birth_rolling_std,military_expenditure%_rolling_std,other_greenhouse_emisions_rolling_std,political_stability_estimate_rolling_std,population_rolling_std,population_density_rolling_std,real_interest_rate_rolling_std,regulatory_quality_estimate_rolling_std,renewvable_energy_consumption%_rolling_std,research_and_development_expenditure%_rolling_std,rule_of_law_estimate_rolling_std,rural_population_rolling_std,tax_revenue%_rolling_std,trade_in_services%_rolling_std,voice_and_accountability_estimate_rolling_std
Albania,2007-01-01,40.8394160583942,28.4028832116788,27400.0,37.7341052229967,-0.706940054893494,99.4284515380859,32.0,4258.4,8990.758036,108.394781021898,2.93268248162323,9.30474143806301,0.087569996714592,53.11162146661232,14.804487509685313,21.967747713292702,-0.427722543478012,15.03611541,1.8207653435572,10677324852.8822,-0.203974649310112,-0.661545991897583,0.0345503017306328,3.27592992782593,2.43571401,,12.07,6.318,77.549,2970017.0,1517619.0,0.113008469343185,3.52812681499024,2007,4179.159999999999,8084331828.864963,99.38934173583982,40.57664233576644,13.297999999999998,63.097652593960426,-0.7776535272598266,6.2678,23.15548461879973,28.30967153284672,-0.5354841589927674,3.2229379653930663,2.630304574,6.816457160600001,2.086802907732698,4.282733872754973,27400.0,76.7008,1.4913080538319998,9068.41344,-0.3908439725637437,3008121.2,109.7854452554744,9.18778744793683,-0.2384976878762244,33.980000000000004,-0.3134149824020486,-0.7091741681098938,1602669.6,15.452592379310776,32.88561597160782,0.0540230805985628,105.97538865227158,1891286529.0108356,0.0232979720351434,0.7111639537467019,1.0520615476292237,6.608406566153607,0.0615192746257244,0.157888251621202,0.9033814558031836,0.0736903024093866,0.118890423993212,0.0600641311223383,0.1432081123587825,5.688755199740251,0.9328321823024746,0.9527884085578404,0.0,0.5377812752411583,0.2063658646295048,134.0616588267881,0.1319304278286619,27621.759523969507,1.0080934132835386,0.7338684882965851,0.2091175775511275,2.281983786094901,0.2369168589186868,0.0367760542612388,66066.32676182325,2.0189220591985766,4.203611569751707,0.0472936788424299
Albania,2008-01-01,43.1021897810219,28.4494890510949,27400.0,39.6561732009093,-0.605212390422821,100.0,35.79,4209.5,8733.156627,107.566204379562,3.32087090389264,8.55052487389148,0.154119998216629,53.39752485349939,15.462471830587612,21.384177082146927,-0.367063492536545,23.86,1.98486885667765,12881352893.6855,-0.0305009130388498,-0.600079298019409,0.137666508555412,3.50922608375549,2.2712636,30.0,11.868,6.57,77.653,2947314.0,1473922.0,0.174939081072807,3.15073844161766,2008,4193.58,9538303156.1736,99.51221618652342,41.014598540146,12.738,59.87180235925096,-0.727938687801361,6.3704,22.85204476661499,28.35627737226278,-0.4960995137691498,3.29713716506958,2.550486612,11.3940770776,2.654176566147532,3.839486908459082,27400.0,77.00300000000001,1.6209132403279258,8981.581720400001,-0.3349881071597339,2989660.8,109.111708029197,9.173117571003502,-0.1129210755228996,34.404,-0.2099020728487197,-0.6859253287315369,1560500.4,15.10585919731974,35.297218040304486,0.0749493594281373,103.75459989802862,2271243666.344953,0.2736650556431879,1.353665329655356,0.8699617807697041,6.622168276966667,0.08173181918528,0.1532719804791472,1.2121234335759523,0.0736903024093891,0.1381458515975704,0.1241860046510272,0.2106455733205716,8.381500929631219,0.4541734829900091,0.8298677981593476,0.0,0.5689108014443084,0.276632765745814,184.93711323908576,0.2105344119545573,31833.581721194987,1.161809551868356,0.7485454744262872,0.2086925565420616,2.403690911910268,0.3110585879105831,0.0603281605310635,67829.98637623336,1.7792704125490708,3.856344220543178,0.0726510723820038
Albania,2009-01-01,43.8430656934307,28.4960948905109,27400.0,40.6013990467602,-0.545270919799805,99.5544509887695,37.09,4368.2,8799.864918,106.843759124088,2.26692209450831,10.0007474139424,-0.2327464313261522,60.6279062369571,14.281003018798664,21.529281662054498,-0.255941480398178,41.2,1.5172171395597,12044205549.6571,-0.0451405122876167,-0.49437016248703,0.241446003317833,3.379753165562791,2.33806777,,11.841,6.81,77.781,2927519.0,1432259.0,0.141477331519127,2.90048784499383,2009,4202.76,10510207109.801268,99.54867858886716,41.59343065693432,12.3106,59.62134977983317,-0.6922465085983276,6.496199999999999,22.599116701691635,28.40288321167882,-0.465613478422165,3.3275838003794043,2.453934764,19.149999518,2.651557151172992,3.564108492415618,27400.0,77.284,1.64812507981769,8892.300436000001,-0.2585642728954554,2969776.8,108.3860145985402,9.504056157567758,-0.0271335616707802,34.654,-0.1927283219104415,-0.6445928931236266,1517930.0,14.36904462869559,37.4169425198577,0.1017973259091375,118.9138469649351,2040296348.061476,0.262242669442115,1.8473167711639549,0.5875774842520708,6.55051475559271,0.1158668616158157,0.2074950601821644,1.3512432993362613,0.0736903024093916,0.1744060045276836,0.1214830433967919,0.1604000990671114,14.036492695785658,0.4569004738946252,0.8754320128717494,0.0,0.5272542081387374,0.2528194047072037,122.3842373865455,0.2364283859240743,33721.5788954194,1.23071455822685,0.6508873502818745,0.2536868707108546,2.643431481994571,0.3058833174531761,0.1030549083685754,68244.66365218602,0.7832627339096071,3.046417163915928,0.065859171334658
Albania,2010-01-01,43.8430656934307,28.542700729927,27400.0,38.4822006190999,-0.531616508960724,99.6442031860352,36.99,4785.4,9243.210309,106.314635036496,3.62604695579816,7.97103659621924,-0.1168549123117435,64.0459952058728,14.773725300455196,21.38896074495525,-0.279453217983246,45.0,1.55859189302349,11926926615.8015,-0.191482901573181,-0.385760486125946,0.233281955122948,3.41307497024536,2.37874556,,11.92,7.029,77.936,2913021.0,1393502.0,0.123838223516941,4.08457542468858,2010,4340.66,11285176983.332293,99.60329437255858,42.50072992700732,12.0476,58.68937375126677,-0.6359170317649842,6.6408000000000005,22.09086202530915,28.449489051094883,-0.3822266757488252,3.3538888083139744,2.3966203219999995,26.9412213452,2.903450150973032,3.3654048116203112,27400.0,77.547,1.6898424643097445,8937.554107,-0.195851257815957,2950083.6,107.6672846715328,9.207162380423105,0.0996690765023231,34.698,-0.1135001748747665,-0.5689783573150634,1475792.6,14.61554095819391,38.532360769065306,0.1258306130766867,269.0400862325167,1550244897.5218866,0.2438082562276494,1.5301536126548358,0.2886161811125476,5.107420092339447,0.1106709741830628,0.2807894228777144,1.1941967567886944,0.0736903024093942,0.1306733914069188,0.123250126851101,0.1089250682655941,15.660693326455364,0.5886852455575328,0.4601204467435288,0.0,0.4334968281314199,0.2037826640917708,198.2891597562735,0.1921422711070383,31980.26325407585,1.1671628924844584,0.9489045794843232,0.1622302280410949,2.6888975436040727,0.2480214373906428,0.129102129012765,66695.66360941318,0.6381049736756587,1.7087990860949198,0.0364654194052522
Albania,2011-01-01,43.8321167883212,28.5946532846715,27400.0,39.269443892675,-0.701794147491455,99.7186431884766,35.84,5136.7,9623.607956,106.02901459854,3.42912324722163,9.88846223555399,-0.0633962488530031,69.6376739165201,18.0220132797796,23.0111069763437,-0.202177077531815,47.0,1.52826633776627,12890760315.146,-0.282379418611526,-0.442926466464996,0.283972561359406,3.24000835418701,2.36555696,,12.035,7.238,78.092,2905195.0,1358266.0,0.0623337626457214,4.89544771627364,2011,4551.639999999999,12084114045.43446,99.66914978027344,43.09197080291974,11.9468,60.164144335892345,-0.6181668043136599,6.793000000000001,21.856254835758616,28.49716423357662,-0.3064715623855591,3.363598500315316,2.35786958,34.419223082,3.115129136608794,3.71187524851279,27400.0,77.8022,1.681941914116862,9078.1195692,-0.1506956789642571,2932613.2,107.0296788321168,9.143102511534025,0.1861834660172463,35.54200000000001,-0.0342615195119355,-0.5169364809989927,1435113.6,15.468740187861275,39.14866439648822,0.1231193736195562,398.0071142580242,907141719.0758836,0.2142575870753719,1.299058356407347,0.1013395283193596,7.080904286069222,0.083436806910199,0.3637870256070161,0.6881581862899925,0.0754000417649264,0.0901856447918761,0.1082550116241327,0.0600985962508412,14.172242048988153,0.5372850645732938,0.7979249227256077,0.0,0.2172019797331422,0.2103582295241455,363.6171243183368,0.1088939030257786,26347.29891658719,0.9615802524303708,0.8720851170992913,0.1002265365879979,2.072985769367464,0.1560426830819296,0.1129363773080437,63163.40032249694,1.4878037228722365,1.0986062146243083,0.0412914468464905
Albania,2012-01-01,43.8430656934307,28.6466058394161,27400.0,34.9265806164893,-0.778729438781738,99.9,39.91,4541.8,9070.545303,105.854051094891,2.03159268395301,9.73611207346728,-0.049323117670549,63.6691526405469,17.4832335567459,23.007590723666,-0.26892501115799,49.4,1.48708257655216,12319834195.331,-0.143631592392921,-0.519839763641357,0.240491986274719,3.30906105041504,2.45518684,29.0,12.227,7.573,78.064,2900401.0,1324613.0,0.0220640376210213,5.42840674878889,2012,4608.32,12412615913.92422,99.76345947265624,43.69270072992704,11.9782,62.27565057067926,-0.6325246810913085,7.044,22.06422343783328,28.54590875912408,-0.2747120559215548,3.3702247248331383,2.361764146,41.292,2.93491117707475,4.09193123527252,27400.0,77.90520000000001,1.615205360715854,9094.0770226,-0.1386270675808189,2918690.0,106.5215328467154,9.229376638614877,0.2273718029260635,37.124,-0.0616401423889637,-0.4885952353477476,1396512.4,16.004489397273396,38.58715947518674,0.1049304872751235,364.5828671235112,455127774.01815313,0.183377918685954,0.3301396995451913,0.1577044704502401,5.933201781714352,0.1057304703367107,0.3863722298509548,0.8647450094146164,0.0779493486248663,0.0595785488769287,0.1024031380738157,0.0666753715316372,10.197466351991558,0.7302521585177785,1.0882601789651725,0.0,0.187143527806852,0.2082256696408266,360.5626793015657,0.1047789628206699,19013.31588650435,0.6939166381936188,0.9124755995123036,0.0539811029901092,1.6740011947427051,0.1405642773017511,0.0807757523337141,58973.38154879714,1.6610279578515197,2.1838221863304628,0.0617974654555986
Albania,2013-01-01,43.3321167883212,28.6985583941606,27400.0,33.3607403729134,-0.750955939292908,99.8903121948242,41.14,4795.4,9298.28975,105.660291970803,1.93762080205229,9.51039749125922,-0.1448040087796487,70.5807697920008,16.5032706123389,24.1607729474324,-0.323875933885574,51.8,1.40898210141146,12776224496.9718,0.0919297859072685,-0.518606007099152,0.25416025519371,3.53929996490479,2.57775068,,12.279,7.819,78.123,2895092.0,1291587.0,0.0488925911486149,4.2950952090984,2013,4725.499999999999,12391590234.581478,99.7415219116211,43.7386861313869,12.0604,65.71229955837953,-0.6616733908653261,7.2938,22.61954261089037,28.595722627737217,-0.2660745441913606,3.376239501062998,2.423061562,46.88,2.65826115670668,4.320802588768667,27400.0,77.9992,1.5000280096626162,9207.1036472,-0.1141409277915952,2908245.6,106.1403503649636,9.421351162088426,0.2506705522537232,38.194,-0.1214249437882193,-0.4723005771636962,1360045.4,16.21264915362365,37.32807290958756,0.0797211892902851,291.10498106353253,429782390.3564165,0.1518582837474411,0.2273286152759825,0.1897598482292591,4.240066073693915,0.1159175296500629,0.4065349923438306,1.1599887505622544,0.0804711862306646,0.0439137790228891,0.1129488624411614,0.0967669735462172,4.073327877792303,0.8056084459305163,0.952727940135893,0.0,0.1411938383924482,0.0569638908491802,303.14435486671795,0.1435112072143739,12630.612566300935,0.4609712615439832,0.8313105303765481,0.0200764828575639,2.2267307874999167,0.0733586092776688,0.0575396807102948,55406.05082750441,1.641219268116299,3.054606715867827,0.0508360256591181
Albania,2014-01-01,42.857299270073,28.7505109489051,27400.0,34.480288657765,-0.586141347885132,99.95,38.56,5188.0,9738.800297,105.441751824818,1.6258650440261,6.32455753333484,0.0125042836081616,73.3202274771466,18.3019361358269,24.3826654387392,-0.0489184409379959,54.3,1.34651599128914,13228147516.1168,0.485986232757568,-0.310979843139648,0.279037684202194,3.21696710586548,2.5936265,34.6,12.15,7.868,78.407,2889104.0,1258985.0,0.143777400255203,4.64616022595595,2014,4889.46,12628378627.87342,99.8206317138672,43.54153284671536,12.1222,68.25076380641744,-0.6698474764823914,7.5054,23.190219366227307,28.64660583941606,-0.2246699362993242,3.343682289123536,2.474173308,49.5,2.5300497466102376,4.669937064961092,27400.0,78.1244,1.465887780008504,9394.890723,-0.0079155787825582,2900562.6,105.8599489051096,8.686113185966914,0.2581888884305954,38.488,-0.0723748008013565,-0.4356225132942198,1325390.6,17.0168357770293,36.10385083178851,0.0801812030375003,269.6279807438383,509327954.814664,0.1317379334809884,0.4411104780362922,0.1456286372936034,4.23447603944566,0.1067344492056333,0.3649839722508343,1.1909942254099724,0.0821442016286755,0.1074663509862127,0.1333091068667026,0.107542769605561,3.702701716314714,0.9255436937416038,0.5267474062640094,0.0,0.1732463563830047,0.0872098570074097,277.5445978625657,0.3087694504047999,9191.353997099666,0.3354508758064428,1.526095110603353,0.0226342419427359,2.139876164641309,0.0613207223310148,0.0895183922563089,53087.06641263955,1.4295703394413248,2.6088360153657275,0.0515400936558448
Albania,2015-01-01,42.8576642335766,28.8024635036496,27400.0,34.3873305784545,-0.544385254383087,99.98,38.49,4797.0,9408.765344,105.135145985401,1.89617402592365,7.27249242163997,0.0790908330136268,79.8644181475793,18.5157898553099,24.4461757489854,0.0282399524003267,56.9,1.16230386432234,11386853113.0189,0.341639041900635,-0.318997442722321,0.174237310886383,3.43796992301941,2.731354,32.8,11.718,7.947,78.644,2880703.0,1226200.0,0.157161772251129,2.22030990322398,2015,4891.78,12520363927.3169,99.88779107666016,43.34445255474454,12.0818,71.41444839475874,-0.672401225566864,7.689,23.801662367033337,28.698558394160575,-0.1631313022226096,3.348661279678346,2.544694996,51.88,2.184075160635336,4.297083960668172,27400.0,78.266,1.386630174268274,9428.00173,0.0987088099122049,2894099.0,105.6240510948906,8.546404351051061,0.2463799595832823,38.788,-0.0331856517362824,-0.4222699046134948,1291930.2,17.76524868800024,35.284876823659445,0.0868459127843379,268.55653408546897,712157753.4746463,0.1014135809563022,0.4901185648149839,0.2231382979230406,5.892273258553908,0.1026758628026889,0.288254228069593,0.731001039388809,0.0821442016286637,0.1485119968277297,0.1369636209656368,0.1400274080627965,3.906020993287149,0.7121483328852752,1.2321504691733882,0.0,0.2521378591167579,0.1436858879571088,264.4937987953054,0.3213261441024226,9594.598871240025,0.3501678420163928,1.6359447950491206,0.0441007190305754,1.9762515022132183,0.0841506607721604,0.1028079456417224,52140.59588938357,0.8045798148380153,2.30002192161423,0.0600489505226299
Albania,2016-01-01,43.1277372262774,28.8021897810219,27400.0,37.2773563494623,-0.471469223499298,99.89,39.44,4573.2,9191.743023,104.967189781022,1.2754316836741,7.41372325944537,0.0946370410924872,80.7355819675527,17.590229809729,23.9567294338323,0.0298212617635727,59.6,1.10358100880452,11861199830.8396,0.337447881698608,-0.321364849805832,0.186607629060745,3.96209001541138,2.80370712,33.7,11.289,8.035,78.86,2876101.0,1195854.0,0.170948684215546,2.74204347492575,2016,4779.08,12314451830.45562,99.92206243896484,43.20357664233578,11.9326,73.63403000496527,-0.6263362407684326,7.848400000000001,23.99078685853106,28.740065693430655,-0.1167316343635321,3.49307761192322,2.632325028,54.4,1.75333684792583,3.8664031123985936,27400.0,78.4196,1.301693108475924,9341.6287434,0.2226742699742316,2888280.2,105.411686131387,8.051456555829336,0.2269069731235501,39.508,-0.0015789937471843,-0.397957581281662,1259447.8,17.67889199399012,34.8864593150169,0.1085688970983028,258.11402906467504,726976534.5482401,0.0408047102176724,0.4095069735984104,0.4225521269618588,7.03508044601108,0.1332939821244033,0.1743811916463367,0.5825971338296111,0.0676749446734682,0.1681998263221604,0.2895017721802269,0.1369602423429777,4.032988966015147,0.3067701714060355,1.3421494773013856,0.0,0.3387068053641291,0.1632230369190559,254.99156619240077,0.2489643014425218,9996.748606422045,0.3648448396508632,1.496850191213502,0.0448414859687648,1.0914073483351745,0.0984332150638378,0.1107673078547322,51061.8087586016,0.7932229940150839,1.454297144406857,0.0680744009447478
